subscription_id,user_id,plan_type,currency,amount_paid,starting_date,ending_date,status,billing_cycle,auto_renew
SUB002401,USR02338,Pro,AED,158.94,06/05/2025,09/07/2025,active,N/A,TRUE
SUB002656,USR02320,Pro,AED,137.19,,,Active,monthly,yes
SUB000975,USR00894,Enterprise,AED,-525.37,25/11/2025,25/05/2026,Active,Monthly,FALSE
SUB003007,USR00972,Basic,AED,45.66,17/12/2024,26/11/2024,Active,N/A,0
SUB001768,USR02165,Pro,AED,-155.52,01/12/2024,,Cancelled,N/A,no
SUB001473,USR00007,Basic,AED,52.22,21/07/2023,,Paused,Monthly,
SUB003376,USR02128,Free,AED,0,,,Active,N/A,TRUE
SUB001588,USR01476,Pro,AED,156.52,12/10/2025,,Active,Annual,TRUE
SUB000401,USR00365,Free,AED,0,08/10/2024,17/07/2024,Active,Annual,FALSE
SUB000252,USR02416,Free,AED,0,13/11/2025,,Cancelled,N/A,TRUE
SUB003354,USR01776,Free,USD,0,15/03/2024,,Cancelled,Monthly,0
SUB003241,USR01540,Enterprise,AED,499.73,25/01/2024,,Active,Annual,yes
SUB003393,USR02547,--,USD,91.71,03/07/2025,,Expired,N/A,TRUE
SUB001600,USR00220,,AED,425.75,12/03/2024,09/11/2024,Paused,ANNUAL,0
SUB002509,USR01995,,USD,505.66,15/02/2026,09/03/2027,Cancelled,,yes
SUB001419,USR01874,Enterprise,AED,520,11/11/2025,08/04/2027,Paused,monthly,TRUE
SUB003033,USR00011,Free,AED,999999,26/12/2023,,Active,ANNUAL,FALSE
SUB001673,USR00212,--,AED,398.5,24/03/2026,04/11/2025,Expired,Annual,no
SUB001949,USR01504,Free,AED,0,23/06/2024,17/08/2025,Expired,Annual,TRUE
SUB001903,USR01938,Basic,AED,49.2,31/08/2025,,Active,monthly,FALSE
SUB000922,USR02899,Pro,AED,141.19,19/12/2024,,Expired,ANNUAL,FALSE
SUB001575,USR00329,Pro,EUR,156.56,27/10/2023,28/09/2025,Cancelled,N/A,
SUB002133,USR02079,BASIC,AED,253.78,16/10/2023,,Expired,ANNUAL,no
SUB000015,USR01579,Enterprise,AED,523.24,28/07/2025,,Active,ANNUAL,1
SUB003388,USR01774,Pro,AED,141.41,22/12/2023,23/04/2025,Expired,monthly,TRUE
SUB001706,USR00056,Pro,AED,142.61,21/10/2025,,Active,N/A,0
SUB001043,USR00990,Basic,AED,48.1,09/11/2025,,Active,Annual,
SUB002760,USR00393,Free,AED,0,29/09/2025,,Active,N/A,1
SUB000691,USR00289,Free,AED,0,28/07/2025,09/08/2024,Cancelled,ANNUAL,TRUE
SUB000279,USR01530,N/A,AED,81.42,27/02/2024,16/10/2025,Cancelled,Monthly,yes
SUB003116,USR01585,Pro,AED,150.44,04/05/2024,,Active,N/A,FALSE
SUB000897,USR02095,Free,AED,0,01/05/2024,,Active,Annual,yes
SUB002369,USR01957,Proo,AED,162.96,08/02/2026,,Paused,N/A,0
SUB000066,USR01877,Free,USD,0,29/01/2026,27/03/2026,Active,ANNUAL,TRUE
SUB001900,USR02539,Pro,USD,147.03,28/12/2023,,Active,,no
SUB002310,USR01927,Pro,AED,147.64,16/10/2023,24/04/2027,Cancelled,Annual,no
SUB000075,USR02068,Pro,AED,145.83,12/12/2024,19/05/2026,Paused,monthly,FALSE
SUB000433,USR00592,Free,AED,0,05/04/2026,10/09/2024,Active,Monthly,FALSE
SUB000822,USR02833,Pro,AED,135.57,27/07/2025,,Active,Annual,1
SUB002784,USR00958,Pro,AED,141.58,16/06/2023,11/06/2023,Cancelled,,FALSE
SUB002009,USR00127,Free,AED,0,09/07/2024,,Cancelled,Annual,no
SUB003160,USR02797,Pro,AED,156.13,26/08/2025,,Paused,Monthly,FALSE
SUB001794,USR00892,Pro,AED,137.01,07/05/2026,,Expired,N/A,FALSE
SUB000780,USR02310,Basic,AED,49.09,25/06/2025,14/04/2025,Paused,Monthly,TRUE
SUB003350,USR02311,Basic,AED,49.11,16/12/2023,24/11/2025,Active,monthly,yes
SUB003085,USR00135,Basic,AED,52.14,25/11/2025,,Active,N/A,TRUE
SUB002286,USR00071,Enterprise,AED,532.26,18/08/2023,07/11/2025,Active,ANNUAL,FALSE
SUB000332,USR02987,Free,USD,0,15/06/2025,25/04/2025,Cancelled,ANNUAL,
SUB001632,USR00350,Pro,AED,141.04,06/07/2025,,Expired,monthly,
SUB003357,USR02078,Free,AED,0,04/02/2025,,Active,,TRUE
SUB001663,USR02165,Free,AED,0,27/07/2025,10/03/2027,Expired,ANNUAL,TRUE
SUB000196,USR00012,Pro,AED,151.41,18/09/2024,20/04/2027,Active,Annual,no
SUB002810,USR01851,Enterprise,AED,538.17,06/04/2024,25/08/2024,Paused,Annual,0
SUB000163,USR02570,Pro,AED,158.61,13/04/2025,,Active,monthly,TRUE
SUB002620,USR02680,Basic,AED,48.35,05/09/2024,,Active,ANNUAL,0
SUB002508,USR02349,Basic,AED,51.1,11/11/2023,04/05/2026,Cancelled,Annual,TRUE
SUB001233,USR01552,Free,AED,0,15/12/2023,18/03/2027,Active,Annual,0
SUB000836,USR01422,Free,AED,0,26/02/2024,,Cancelled,monthly,
SUB000079,USR00425,Basic,AED,48.28,24/08/2024,27/05/2026,Active,Monthly,FALSE
SUB002446,USR02488,BASIC,AED,-72.42,21/09/2025,,Active,ANNUAL,TRUE
SUB001530,USR00576,Free,AED,0,18/09/2025,26/08/2026,Expired,Monthly,FALSE
SUB001844,USR02571,Pro,AED,160.09,06/01/2024,22/04/2026,Active,,TRUE
SUB000165,USR01711,Pro,AED,154.89,28/11/2024,,Active,,1
SUB002517,USR02500,Free,USD,0,12/12/2025,,Active,monthly,TRUE
SUB001224,USR00876,Free,AED,0,20/03/2026,13/05/2026,Active,N/A,FALSE
SUB002322,USR01959,Free,AED,0,02/04/2026,,Active,Annual,FALSE
SUB002229,USR01670,Free,AED,0,18/04/2024,22/03/2024,Paused,ANNUAL,FALSE
SUB000171,USR02507,Pro,AED,136.31,03/10/2025,,Active,N/A,0
SUB002874,USR01692,Enterprise,AED,514.3,03/07/2023,20/06/2026,Active,monthly,TRUE
SUB003296,USR02743,Free,AED,0,10/02/2026,,Active,Annual,0
SUB001392,USR02321,Pro,AED,148.46,05/04/2026,,Active,ANNUAL,no
SUB002545,USR01947,Basic,AED,53.62,04/10/2025,06/09/2025,Paused,Monthly,FALSE
SUB002360,USR00810,Pro,AED,154.66,06/05/2025,05/05/2026,Active,ANNUAL,no
SUB003273,USR01560,Proo,USD,-166.28,11/05/2026,,Active,Monthly,TRUE
SUB003105,USR01321,Basic,AED,51.1,28/06/2023,,Active,,FALSE
SUB002737,USR00207,Pro,AED,162.03,31/12/2024,,Active,Monthly,
SUB000678,USR00024,Free,AED,0,02/02/2025,01/02/2025,Active,Annual,FALSE
SUB000238,USR00796,Enterprise,AED,-503.55,28/03/2026,20/07/2026,N/A,,1
SUB000244,USR02793,Basic,AED,49.48,27/04/2024,15/09/2025,Active,Annual,1
SUB002139,USR01886,Free,AED,0,20/04/2025,03/12/2026,Paused,monthly,no
SUB001107,USR02500,Pro,AED,158.45,,,Expired,,yes
SUB002256,USR00789,Enterprise,AED,473.93,17/06/2024,,Active,Annual,
SUB001149,USR01247,Pro,AED,141.34,17/02/2025,21/09/2024,Active,N/A,1
SUB002626,USR01864,Free,USD,0,14/09/2025,,Paused,N/A,yes
SUB001472,USR00001,Pro,AED,156.06,17/04/2026,18/04/2026,cancelled,monthly,yes
SUB000998,USR01054,Enterprise,USD,465.52,13/05/2024,29/03/2027,Paused,Annual,1
SUB003108,USR00570,Free,AED,,31/01/2026,,Active,monthly,FALSE
SUB001110,USR01351,Basic,AED,49.83,06/09/2023,10/08/2025,Paused,Monthly,yes
SUB000953,USR02135,free,USD,178.46,23/12/2025,,Cancelled,N/A,yes
SUB000802,USR01938,Free,AED,0,11/08/2023,,Cancelled,monthly,TRUE
SUB000331,USR01561,Pro,AED,999999,31/03/2024,,Active,Monthly,yes
SUB000777,USR02005,Pro,AED,138.59,04/11/2025,31/03/2026,Cancelled,monthly,1
SUB002864,USR01821,--,AED,312.37,23/05/2023,,Active,Annual,FALSE
SUB000509,USR00196,Free,AED,0,09/05/2025,09/01/2026,Cancelled,ANNUAL,1
SUB000099,USR01324,Pro,USD,151.07,08/04/2025,30/08/2024,active,Annual,0
SUB002779,USR01565,Basic,AED,46.42,,,Active,N/A,yes
SUB001126,USR02935,Free,AED,0,08/05/2025,09/05/2025,Expired,Monthly,TRUE
SUB002564,USR01344,Pro,,159.36,20/09/2023,03/07/2024,Expired,N/A,no
SUB000247,USR00397,Basic,AED,48.77,05/03/2024,04/10/2024,Cancelled,,
SUB002308,USR00928,Pro,AED,157.13,19/02/2024,,N/A,,TRUE
SUB001344,USR00226,Free,AED,0,15/09/2024,21/11/2025,Active,,TRUE
SUB001375,USR01683,N/A,AED,132.3,18/12/2024,27/09/2026,Active,Annual,1
SUB001690,USR00376,Basic,AED,47.39,07/07/2024,10/07/2024,Active,Monthly,TRUE
SUB001840,USR01640,Basic,AED,48.59,22/06/2023,23/07/2024,Paused,ANNUAL,0
SUB001950,USR01291,Basic,AED,50.4,17/02/2026,,Active,monthly,yes
SUB000931,USR02893,Enterprise,AED,474.75,19/12/2024,,Cancelled,monthly,FALSE
SUB003311,USR02058,Free,AED,0,26/09/2023,03/09/2025,Paused,Annual,no
SUB003008,USR01566,N/A,AED,62.95,06/04/2024,,Active,Annual,0
SUB003065,USR02311,Free,AED,0,10/07/2023,27/09/2026,Cancelled,Annual,TRUE
SUB000175,USR02981,Free,AED,0,18/04/2025,,Paused,,yes
SUB001660,USR00174,Pro,AED,143.54,23/11/2025,,Cancelled,ANNUAL,TRUE
SUB003406,USR00932,Enterprise,AED,492.8,22/11/2023,,Active,,TRUE
SUB001904,USR02032,Pro,AED,161.78,04/04/2026,27/05/2024,Cancelled,ANNUAL,0
SUB001168,USR00505,Free,AED,0,09/12/2025,,Active,monthly,0
SUB001073,USR00478,Enterprise,AED,456.85,11/12/2024,,Active,Monthly,
SUB002241,USR02649,Free,AED,0,18/10/2025,24/12/2025,Cancelled,,FALSE
SUB001278,USR00167,Free,AED,0,18/02/2026,26/01/2026,Active,,
SUB001429,USR00774,Free,AED,0,20/10/2025,01/02/2027,Cancelled,Annual,TRUE
SUB001522,USR02808,Basic,AED,52.64,12/01/2024,29/11/2026,Active,Annual,FALSE
SUB003050,USR01360,Free,USD,0,20/12/2024,,Active,Monthly,yes
SUB003320,USR00539,Free,AED,0,18/01/2024,21/09/2026,Active,Monthly,1
SUB001849,USR01319,Basic,AED,46.17,30/12/2023,,Cancelled,Annual,0
SUB001624,USR01487,Basic,AED,52.96,19/01/2024,10/06/2024,Active,,no
SUB002358,USR01866,Free,AED,0,21/09/2024,,Active,,yes
SUB002126,USR01373,Free,AED,0,26/02/2026,,Paused,,
SUB002735,USR02496,N/A,AED,323.82,12/01/2026,23/05/2024,Cancelled,,FALSE
SUB000347,USR00229,Pro,AED,142.79,06/03/2026,15/09/2024,Active,monthly,0
SUB003020,USR01081,Basic,USD,47.6,27/10/2025,28/08/2024,Expired,ANNUAL,TRUE
SUB000624,USR00052,Basic,AED,999999,04/05/2024,15/07/2024,Expired,,TRUE
SUB000557,USR02184,Free,AED,,15/01/2026,,Active,Monthly,TRUE
SUB002876,USR01468,Free,AED,0,31/07/2025,09/02/2026,Cancelled,monthly,1
SUB002873,USR01098,Basic,AED,45.73,11/04/2026,25/12/2025,Active,,FALSE
SUB003057,USR02580,Basic,AED,52,24/03/2025,09/03/2025,Cancelled,N/A,yes
SUB000200,USR00401,Pro,AED,149.49,13/03/2026,13/11/2025,Active,,FALSE
SUB002712,USR02510,Pro,AED,161.3,28/02/2024,07/03/2025,Active,Monthly,0
SUB001701,USR01342,Enterprise,AED,525.13,31/03/2024,13/03/2027,active,Monthly,yes
SUB001852,USR01496,Pro,USD,160.3,10/02/2024,25/04/2027,cancelled,N/A,TRUE
SUB000738,USR01890,Pro,AED,162.45,29/05/2023,,Cancelled,N/A,no
SUB000061,USR00230,Pro,AED,154.31,,,Active,,TRUE
SUB000950,USR02800,Free,AED,0,25/01/2024,26/09/2026,Active,Monthly,FALSE
SUB001189,USR01243,Free,AED,0,09/11/2023,,Cancelled,Annual,TRUE
SUB001945,USR01352,Basic,USD,45.89,02/05/2024,,Active,N/A,1
SUB001040,USR00273,Free,AED,0,15/04/2024,,Cancelled,N/A,no
SUB002581,USR02669,Enterprise,AED,511.2,20/07/2023,12/10/2025,Active,N/A,
SUB002720,USR02109,Free,N/A,999999,30/04/2026,05/01/2026,Cancelled,Annual,no
SUB002292,USR00253,Basic,AED,46.18,13/12/2023,,Active,monthly,1
SUB002968,USR02785,Basic,AED,46.69,16/09/2025,,Paused,,TRUE
SUB000771,USR02119,Proo,USD,251.31,03/12/2023,,N/A,Annual,FALSE
SUB000271,USR02364,Basic,AED,45.42,20/01/2025,04/03/2027,Active,monthly,TRUE
SUB001402,USR01758,Basic,AED,47.38,22/11/2025,30/10/2025,Expired,N/A,TRUE
SUB000190,USR00278,BASIC,AED,999999,14/05/2024,,Active,N/A,no
SUB001810,USR00217,Proo,AED,390.1,28/08/2024,05/12/2024,Active,monthly,FALSE
SUB001631,USR00703,Free,USD,0,05/10/2023,08/02/2027,Active,Annual,FALSE
SUB000763,USR02733,Free,AED,999999,21/09/2025,25/08/2024,Active,Annual,FALSE
SUB002598,USR02855,Free,AED,0,06/01/2025,09/02/2027,Active,,1
SUB001863,USR02784,Pro,AED,163,23/10/2025,16/08/2025,Active,Annual,yes
SUB002243,USR02635,Free,AED,0,28/01/2026,04/01/2026,Active,N/A,0
SUB001137,USR01946,Free,USD,0,16/12/2025,,Cancelled,monthly,no
SUB002863,USR00046,Basic,,53.46,24/08/2023,03/01/2026,Active,Annual,TRUE
SUB001859,USR01189,Basic,AED,53.51,06/12/2024,30/04/2025,Cancelled,monthly,FALSE
SUB000178,USR01831,Basic,AED,50.2,27/07/2025,,Active,ANNUAL,1
SUB000312,USR01287,Basic,AED,53,23/10/2023,21/12/2026,Cancelled,ANNUAL,yes
SUB001570,USR01374,Free,AED,0,11/11/2024,15/02/2027,active,ANNUAL,
SUB002058,USR02056,Free,AED,0,08/10/2024,05/07/2024,Active,Annual,TRUE
SUB002043,USR00334,Pro,AED,137.27,28/07/2023,,Active,N/A,FALSE
SUB002227,USR02336,Free,AED,0,23/09/2024,09/04/2026,Cancelled,Monthly,FALSE
SUB000921,USR00280,Free,AED,0,31/10/2024,,Active,ANNUAL,TRUE
SUB000022,USR02720,Basic,AED,44.98,10/08/2025,16/03/2025,Expired,ANNUAL,TRUE
SUB001588,USR01476,Pro,AED,156.52,12/10/2025,,Active,Annual,TRUE
SUB000241,USR02846,Enterprise,AED,481.19,03/08/2024,20/01/2025,Paused,N/A,FALSE
SUB000807,USR01007,Basic,AED,53.84,01/12/2025,13/01/2025,Active,ANNUAL,
SUB000082,USR00569,Enterprise,USD,534.06,26/01/2026,29/12/2025,Active,,TRUE
SUB000002,USR01497,Free,AED,0,15/08/2025,17/11/2026,Expired,Monthly,FALSE
SUB003386,USR01091,Pro,AED,141.45,23/06/2023,,Expired,N/A,FALSE
SUB001114,USR01583,Free,AED,0,20/09/2025,,Active,ANNUAL,no
SUB000354,USR01468,Free,AED,0,16/06/2024,,Active,monthly,TRUE
SUB002563,USR02988,Basic,USD,46.29,25/04/2026,24/08/2024,Active,,0
SUB003005,USR00539,Pro,AED,145.74,,,Paused,ANNUAL,FALSE
SUB002839,USR02758,Pro,EUR,144.78,13/08/2025,02/01/2027,Paused,,yes
SUB003252,USR00362,Basic,AED,51.69,05/09/2025,31/05/2024,Active,ANNUAL,no
SUB002299,USR01518,Free,AED,0,16/08/2024,01/12/2026,Active,monthly,yes
SUB001386,USR00920,Basic,AED,48.62,17/08/2024,,Active,Monthly,FALSE
SUB000549,USR00408,Free,AED,0,04/10/2024,28/10/2024,Cancelled,monthly,TRUE
SUB001573,USR02929,Enterprise,AED,548.81,17/10/2024,,Cancelled,monthly,yes
SUB002781,USR00568,Free,USD,0,24/08/2024,07/07/2025,Active,,TRUE
SUB002692,USR02593,Pro,AED,151.34,03/07/2025,,Active,,TRUE
SUB001542,USR00249,Free,AED,0,,,Cancelled,monthly,FALSE
SUB003106,USR02665,Basic,AED,,20/08/2025,06/03/2025,Active,Monthly,1
SUB000671,USR01651,Basic,AED,999999,05/01/2026,,Active,monthly,1
SUB000264,USR02182,Basic,AED,44.76,,,Active,monthly,1
SUB000456,USR01200,Pro,USD,145.9,14/05/2024,12/04/2025,Active,ANNUAL,TRUE
SUB002862,USR01950,Pro,AED,147.86,16/07/2023,29/06/2023,Expired,ANNUAL,
SUB002291,USR00732,Free,AED,0,15/12/2023,,Expired,,0
SUB001046,USR01070,Free,USD,0,29/04/2025,03/04/2026,Active,N/A,yes
SUB000448,USR02776,Pro,USD,159.52,24/10/2024,,N/A,Annual,FALSE
SUB002367,USR01713,Free,AED,0,21/07/2024,,Active,N/A,TRUE
SUB000485,USR00956,Pro,AED,142.88,26/08/2024,,Cancelled,,yes
SUB000973,USR00126,Pro,AED,151.19,26/05/2025,28/03/2025,Active,monthly,0
SUB000926,USR01706,Basic,AED,46.82,16/05/2023,07/12/2026,ACTIVE,,
SUB001032,USR00920,Pro,AED,135.93,30/06/2024,,Cancelled,ANNUAL,yes
SUB001070,USR01512,Enterprise,AED,476.03,21/01/2026,,Active,monthly,FALSE
SUB001910,USR00521,Enterprise,AED,505.69,,,Active,N/A,1
SUB000985,USR02420,N/A,AED,405.81,14/07/2024,,Expired,,no
SUB001465,USR00234,Pro,AED,155.34,11/01/2025,05/10/2026,Active,ANNUAL,FALSE
SUB000695,USR02378,Pro,AED,,18/03/2026,19/03/2026,Expired,N/A,yes
SUB001809,USR02995,Pro,AED,162.8,26/03/2025,17/08/2026,Expired,,0
SUB000029,USR02335,Pro,USD,,28/11/2023,21/12/2026,Active,Monthly,FALSE
SUB003043,USR01172,Basic,AED,44.59,05/11/2025,12/01/2025,Active,ANNUAL,
SUB003445,USR01864,Free,AED,0,06/09/2024,24/08/2024,Cancelled,monthly,0
SUB000343,USR00680,Basic,AED,49.4,13/03/2026,01/03/2026,Active,ANNUAL,TRUE
SUB001151,USR00625,Free,AED,0,26/03/2025,,Active,Monthly,TRUE
SUB003500,USR00098,Basic,AED,50.41,11/08/2025,24/08/2025,Cancelled,monthly,0
SUB000358,USR00726,Basic,AED,46.68,29/07/2023,08/01/2026,Active,N/A,TRUE
SUB002261,USR00030,Proo,AED,448.65,08/09/2023,,Paused,Annual,FALSE
SUB001461,USR02614,Enterprise,AED,496.87,19/02/2024,01/08/2024,Paused,N/A,FALSE
SUB000752,USR02869,Free,USD,0,15/02/2026,24/09/2024,Cancelled,monthly,0
SUB003483,USR00128,Pro,AED,141.06,29/10/2023,,Cancelled,monthly,FALSE
SUB002057,USR00454,Pro,AED,152.87,27/12/2023,26/01/2027,Active,Annual,no
SUB000435,USR01447,Pro,AED,138.02,04/02/2024,,Expired,Annual,FALSE
SUB001101,USR01085,Free,AED,0,05/06/2024,03/06/2024,Active,ANNUAL,no
SUB003269,USR00229,Free,AED,0,31/08/2023,,Active,monthly,yes
SUB000983,USR01837,Pro,AED,142.05,24/06/2023,,Active,Monthly,1
SUB002087,USR02135,Pro,AED,159.08,17/11/2024,,Active,Annual,yes
SUB001579,USR01576,Basic,AED,45.64,05/08/2025,,Cancelled,Annual,FALSE
SUB002430,USR02756,Pro,AED,141.43,07/05/2026,15/01/2025,Active,Annual,TRUE
SUB001329,USR01647,Enterprise,AED,543.48,04/10/2025,17/11/2025,Active,Monthly,no
SUB002660,USR02735,Enterprise,AED,449.38,24/08/2024,,Paused,N/A,0
SUB002768,USR02308,Enterprise,AED,-495.96,21/08/2023,21/04/2026,Active,,1
SUB002759,USR02016,Pro,AED,156.03,20/08/2024,,Active,,no
SUB003080,USR02589,Free,AED,0,29/06/2025,14/07/2024,Expired,Monthly,TRUE
SUB002128,USR01735,Basic,AED,49.34,04/11/2025,,Active,ANNUAL,1
SUB000677,USR01306,Pro,AED,146.07,06/09/2023,25/08/2023,Expired,Annual,FALSE
SUB000013,USR01524,Free,AED,0,22/11/2024,31/05/2024,Active,Monthly,TRUE
SUB001574,USR00712,Enterprise,AED,489.97,16/10/2024,,Active,Monthly,FALSE
SUB002696,USR02024,Free,AED,0,,,Active,N/A,no
SUB002140,USR02098,Free,AED,0,01/09/2025,,Active,N/A,FALSE
SUB002498,USR01422,Free,AED,0,01/07/2023,10/12/2024,Paused,Monthly,FALSE
SUB001384,USR00550,Free,AED,0,02/07/2023,05/04/2026,Active,Annual,1
SUB002855,USR01923,Pro,EUR,162.5,13/06/2023,,--,,
SUB000421,USR02416,free,AED,295.63,29/10/2025,,Active,,FALSE
SUB000462,USR02947,Basic,AED,45.7,05/08/2025,08/07/2025,Active,,TRUE
SUB000449,USR00074,Basic,USD,51.28,30/07/2024,,ACTIVE,monthly,
SUB003023,USR02702,Pro,AED,150.31,24/08/2025,15/03/2026,--,Monthly,1
SUB002543,USR02820,,EUR,148.18,10/02/2025,27/08/2026,Active,Annual,no
SUB001692,USR01909,Basic,AED,,19/03/2024,14/06/2026,Active,,TRUE
SUB000270,USR02365,--,AED,82.24,10/03/2024,02/07/2024,Cancelled,Monthly,no
SUB000453,USR02341,Pro,AED,152.54,25/06/2024,02/01/2025,Cancelled,Annual,TRUE
SUB002978,USR02467,Enterprise,AED,527.87,25/12/2023,,Active,N/A,1
SUB002236,USR00704,Basic,USD,49.71,27/01/2026,30/04/2027,Active,monthly,
SUB000377,USR01408,Free,USD,0,17/03/2024,16/02/2025,cancelled,monthly,1
SUB001979,USR02925,Pro,AED,162.63,03/04/2026,21/07/2026,Active,,TRUE
SUB000538,USR02253,Free,AED,0,13/07/2023,06/08/2025,Expired,Monthly,1
SUB000428,USR02209,Pro,AED,151.84,01/06/2025,02/02/2025,Active,N/A,
SUB002131,USR01148,Free,AED,0,13/07/2025,06/07/2025,Cancelled,monthly,yes
SUB001726,USR02533,Free,AED,0,18/11/2025,,Active,ANNUAL,
SUB002797,USR01439,Basic,AED,52.01,31/03/2025,30/06/2026,Paused,Annual,no
SUB002773,USR00583,Basic,AED,45.87,30/09/2023,,Cancelled,N/A,no
SUB001173,USR01925,Free,AED,0,,,Active,ANNUAL,TRUE
SUB003383,USR00141,Free,EUR,0,26/09/2024,04/04/2026,Active,ANNUAL,yes
SUB000098,USR01948,Basic,AED,53.54,13/03/2026,06/03/2026,Active,ANNUAL,TRUE
SUB000607,USR00355,Free,AED,0,02/10/2024,22/12/2026,Paused,ANNUAL,FALSE
SUB001098,USR00500,Basic,AED,45.71,28/02/2026,,,N/A,TRUE
SUB001292,USR02419,Pro,USD,150.22,04/09/2023,,Active,ANNUAL,1
SUB000660,USR01255,Pro,AED,139.25,17/09/2025,,Active,Monthly,0
SUB000345,USR02603,Free,AED,0,08/12/2023,,Active,Annual,yes
SUB003299,USR00822,Basic,AED,49.29,27/06/2025,20/06/2025,Paused,monthly,yes
SUB000522,USR00064,Pro,AED,144.02,20/02/2024,16/11/2024,Active,Annual,no
SUB001301,USR00836,Basic,AED,50.22,,,Paused,Monthly,
SUB001195,USR01816,Free,AED,999999,16/04/2025,,Active,N/A,FALSE
SUB001066,USR00571,Pro,AED,999999,18/04/2025,,Expired,Annual,FALSE
SUB001558,USR01357,Free,AED,0,20/09/2025,,Active,ANNUAL,no
SUB002491,USR02381,Free,AED,0,13/11/2024,01/12/2024,Cancelled,,no
SUB001240,USR00961,Free,AED,0,,,Cancelled,Annual,0
SUB000858,USR00131,Free,AED,0,24/01/2024,27/07/2026,Active,,FALSE
SUB002076,USR01864,Pro,USD,152.65,16/07/2023,04/07/2025,Active,,FALSE
SUB000688,USR00354,Pro,ADE,158.78,22/09/2024,,Active,ANNUAL,TRUE
SUB003448,USR01170,Free,AED,0,14/01/2026,21/01/2027,Cancelled,monthly,yes
SUB001216,USR01762,Free,AED,0,30/01/2024,,Expired,monthly,no
SUB002271,USR01088,N/A,USD,459.63,02/02/2024,01/09/2026,Paused,N/A,FALSE
SUB002537,USR01927,Enterprise,AED,493.6,25/11/2024,17/03/2025,Paused,,no
SUB002106,USR01996,Free,AED,0,09/04/2024,08/04/2026,ACTIVE,N/A,FALSE
SUB001893,USR00391,Basic,AED,51.39,17/04/2026,,Active,monthly,TRUE
SUB000396,USR01821,Basic,USD,46.4,07/01/2026,25/05/2026,ACTIVE,Monthly,0
SUB003295,USR01691,Basic,AED,53.68,10/02/2026,09/07/2026,Active,,TRUE
SUB000056,USR00623,Enterprise,AED,-517.98,18/02/2025,17/07/2024,Cancelled,Annual,TRUE
SUB000217,USR01306,Enterprise,AED,505.81,13/02/2024,28/12/2024,Active,Annual,TRUE
SUB002381,USR00358,Free,AED,0,12/09/2025,28/06/2024,Active,monthly,
SUB000779,USR00119,--,AED,423.14,05/06/2025,05/08/2024,Active,,
SUB002623,USR02611,Enterprise,AED,462.23,25/03/2024,24/02/2024,Active,,TRUE
SUB001983,USR00700,Basic,AED,50.68,10/06/2024,24/06/2024,Active,ANNUAL,FALSE
SUB003264,USR02894,Pro,AED,146.44,05/03/2025,15/03/2025,Cancelled,N/A,FALSE
SUB000769,USR00873,Free,AED,0,06/05/2026,18/04/2026,Expired,Monthly,0
SUB001413,USR01810,Free,USD,0,25/02/2024,07/04/2025,Active,Annual,0
SUB001637,USR01749,Basic,AED,44.1,31/07/2025,,Paused,Annual,yes
SUB001817,USR01589,Pro,AED,138.24,14/05/2023,05/05/2023,Active,,FALSE
