feedback_id,user_id,tool_id,feedback_date,rating,feedback_text,feedback_category,sentiment,would_recommend
FB000218,USR01355,TOOL001,2025-12-08,3.0,Very expensive for what it offers.,,N/A,Yes
FB001070,USR01617,TOOL008,2024-06-01,2.0,"It is okay, nothing special.",N/A,Positive,Yes
FB001067,USR00644,TOOL009,2024-06-06,5.0,Really love using this tool daily!,Feature Request,NEGATIVE,1
FB002847,USR01645,TOOL002,2025-09-04,3.0,Really love using this tool daily!,Performance,Positive,No
FB003170,USR01064,TOOL007,2024-07-04,5.0,1234,FEATURE REQUEST,Negative,Yes
FB000405,USR01509,TOOL005,2025-07-31,1.0,"Disappointing results, expected better.",Feature Request,,
FB002454,USR99329,TOOL005,2025-02-18,5.0,Average product.,Other,,
FB000820,USR02341,TOOL008,2025-12-20,3.0,"It is okay, nothing special.",Feature Request,Positive,Yes
FB000761,USR02174,TOOL002,2024-06-28,5.0,.,Performance,positive,No
FB001010,USR02196,TOOL003,2025-04-28,0.0,asdfjkl;,Performance,,N/A
FB002658,USR02489,TOOL009,2027-03-16,2.0,.,,Negative,No
FB001105,USR01011,TOOL001,2024-07-07,4.0,Incredibly fast and accurate responses.,N/A,N/A,True
FB003968,USR01828,TOOL010,2024-12-14,5.0,!!!!!,Feature Request,NEGATIVE,1
FB003393,USR01004,TOOL008,2024-10-18,4.0,,Feature Request,positive,N/A
FB003160,USR00749,TOOL006,2026-04-10,5.0,"Disappointing results, expected better.",Bug Report,Positive,False
FB003478,USR02802,TOOL003,2026-04-04,3.0,Game changer for my workflow.,Feature Request,positive,Yes
FB001861,USR02683,TOOL002,2024-06-18,3.0,Average product.,Bug Report,,Yes
FB003276,USR01424,TOOL011,2025-10-14,5.0,Best AI tool I have used so far.,FEATURE REQUEST,Negative,0
FB003360,USR02868,TOOL007,2024-08-17,5.0,Average product.,General Feedback,Negative,N/A
FB000293,USR02617,TOOL004,2026-04-07,1.0,,Other,positive,Yes
FB002638,USR00340,TOOL008,2026-09-18,1.0,"Too slow, crashes often.",N/A,N/A,No
FB002193,USR00556,TOOL005,2025-10-25,5.0,,Support,Neutral,True
FB000815,USR02491,TOOL005,2026-06-26,3.0,N/A,bug report,Positive,0
FB001287,USR02987,TOOL009,2024-06-03,2.0,Average product.,,positive,1
FB001405,USR00211,TOOL008,2025-03-22,5.0,"Too slow, crashes often.",,N/A,No
FB002266,USR02123,TOOL006,2026-02-12,5.0,,N/A,Negative,N/A
FB003396,USR02875,TOOL001,2024-12-11,5.0,,Other,Negative,True
FB000574,USR01930,TOOL010,2024-09-16,3.0,Saves me hours of work every week.,N/A,Positive,1
FB000686,USR02334,TOOL001,2025-12-11,2.0,,,,N/A
FB003092,USR02974,TOOL003,2024-08-11,7.0,Average product.,FEATURE REQUEST,N/A,True
FB001288,USR00338,TOOL001,2024-10-18,4.0,Really love using this tool daily!,,N/A,No
FB003047,USR00205,TOOL012,,2.0,Customer support is terrible.,General Feedback,NEGATIVE,
FB000556,USR00396,TOOL003,2024-08-04,4.0,Game changer for my workflow.,N/A,Negative,1
FB000019,USR01197,TOOL004,2024-11-22,4.0,!!!!!,Bug Report,Negative,No
FB001676,USR00112,TOOL007,2026-01-23,1.0,Really love using this tool daily!,Feature Request,Neutral,False
FB003596,USR01143,TOOL011,2025-06-27,8.0,,N/A,Neutral,1
FB000630,USR02028,TOOL009,2025-12-30,4.0,.,N/A,Neutral,No
FB000880,USR01910,TOOL003,2024-12-13,5.0,Saves me hours of work every week.,Feature Request,Negative,0
FB002068,USR00484,TOOL005,2025-05-23,1.0,"It is okay, nothing special.",Pricing,N/A,
FB002316,USR00643,TOOL006,2025-02-27,3.0,Really love using this tool daily!,N/A,N/A,1
FB000492,USR00840,TOOL001,2024-11-17,1.0,Saves me hours of work every week.,FEATURE REQUEST,Negative,1
FB003837,USR00441,TOOL008,2026-03-22,1.0,Saves me hours of work every week.,General Feedback,Neutral,False
FB000370,USR02332,TOOL009,2025-06-17,2.0,Does the job but nothing more.,,positive,True
FB003616,USR00612,TOOL001,2025-08-12,2.0,Customer support is terrible.,Performance,,No
FB003718,USR01399,TOOL002,2024-08-30,1.0,Really love using this tool daily!,Support,NEGATIVE,Yes
FB002898,USR01805,TOOL001,2024-07-17,1.0,Best AI tool I have used so far.,Other,Neutral,N/A
FB000217,USR02543,TOOL008,2025-01-27,0.0,Really love using this tool daily!,N/A,,Yes
FB000460,USR00210,TOOL007,2025-07-08,4.0,"Disappointing results, expected better.",FEATURE REQUEST,NEGATIVE,1
FB000403,USR00026,TOOL002,2025-05-30,3.0,Very expensive for what it offers.,N/A,,True
FB002491,USR02050,TOOL006,2024-06-05,1.0,Incredibly fast and accurate responses.,FEATURE REQUEST,,0
FB001366,USR00703,TOOL012,2027-01-14,-1.0,asdfjkl;,,N/A,No
FB002551,USR00791,TOOL009,2024-07-15,5.0,"It is okay, nothing special.",N/A,NEGATIVE,False
FB001375,USR02649,TOOL004,2025-04-09,5.0,Incredibly fast and accurate responses.,General Feedback,,No
FB002904,USR02382,TOOL004,2024-06-07,3.0,,General Feedback,,0
FB000341,USR01922,TOOL001,2027-03-17,2.0,Many bugs and the UI is confusing.,,,Yes
FB003447,USR01662,TOOL001,2025-06-29,4.0,Game changer for my workflow.,Pricing,positive,Yes
FB003408,USR01878,TOOL003,2026-01-20,2.0,"Too slow, crashes often.",Bug Report,NEGATIVE,0
FB001396,USR01758,TOOL003,2024-12-30,3.0,.,Feature Request,positive,True
FB002568,USR00100,TOOL002,2024-06-06,4.0,"Too slow, crashes often.",Pricing,Negative,True
FB000635,USR01032,TOOL012,2025-03-29,,Really love using this tool daily!,General Feedback,,N/A
FB003797,USR00708,TOOL001,2026-04-28,1.0,Saves me hours of work every week.,Bug Report,NEGATIVE,
FB002730,USR00105,TOOL004,2025-07-07,3.0,1234,General Feedback,,1
FB002833,USR00899,TOOL004,2025-03-16,1.0,Average product.,Feature Request,Positive,True
FB003681,USR00453,TOOL002,2025-12-11,3.0,Does the job but nothing more.,FEATURE REQUEST,Negative,False
FB002116,USR01071,TOOL010,2024-10-06,2.0,Game changer for my workflow.,Bug Report,Neutral,True
FB000955,USR01875,TOOL002,2026-01-08,4.0,,,Negative,True
FB003714,USR02990,TOOL006,2025-05-03,1.0,asdfjkl;,Support,N/A,0
FB000230,USR02449,TOOL003,2025-12-31,4.0,Game changer for my workflow.,,,N/A
FB000647,USR02813,TOOL004,2025-06-29,4.0,Really love using this tool daily!,FEATURE REQUEST,Negative,N/A
FB001135,USR01377,TOOL002,2025-03-21,5.0,asdfjkl;,Pricing,N/A,False
FB003196,USR01956,TOOL007,2025-08-04,0.0,Saves me hours of work every week. â€™ â€œ,bug report,Neutral,1
FB002034,USR00263,TOOL004,2025-02-05,1.0,Incredibly fast and accurate responses.,Feature Request,Positive,1
FB002579,USR00022,TOOL003,2026-02-09,1.0,Saves me hours of work every week.,Other,Neutral,Yes
FB000225,USR01359,TOOL008,2025-07-15,4.0,Best AI tool I have used so far.,Other,Neutral,No
FB002836,USR01623,TOOL012,2024-12-12,2.0,N/A,Performance,N/A,1
FB000248,USR02010,TOOL002,,3.0,"Too slow, crashes often.",Performance,NEGATIVE,No
FB002640,USR00425,TOOL010,2024-09-05,4.0,Average product.,bug report,N/A,True
FB000909,USR02665,TOOL007,,3.0,Very expensive for what it offers.,bug report,N/A,True
FB000957,USR01197,TOOL010,2025-08-18,3.0,Incredibly fast and accurate responses.,,NEGATIVE,No
FB000347,USR02879,TOOL003,,2.0,"It is okay, nothing special.",Pricing,Neutral,0
FB000367,USR02288,TOOL007,2025-05-29,10.0,,Bug Report,Negative,No
FB002885,USR00305,TOOL001,2025-06-29,2.0,Average product.,Other,NEGATIVE,
FB002739,USR02024,TOOL011,2026-01-10,10.0,1234 â€™ â€œ,FEATURE REQUEST,positive,N/A
FB000235,USR02353,TOOL004,2025-05-22,2.0,asdfjkl; â€™ â€œ,,,1
FB001291,USR01430,TOOL006,2025-03-25,2.0,.,Other,Neutral,True
FB001136,USR01758,TOOL003,2025-09-17,5.0,"Disappointing results, expected better.",Feature Request,Negative,1
FB002264,USR02359,TOOL003,2024-06-18,4.0,Incredibly fast and accurate responses.,Bug Report,Positive,No
FB001183,USR00744,TOOL010,2025-11-10,2.0,Game changer for my workflow.,N/A,NEGATIVE,False
FB002238,USR01103,TOOL004,2025-09-03,4.0,Saves me hours of work every week.,Other,positive,N/A
FB003470,USR01573,TOOL001,2025-10-06,2.0,Many bugs and the UI is confusing.,Feature Request,N/A,1
FB003611,USR02213,TOOL008,,5.0,Game changer for my workflow.,Feature Request,NEGATIVE,Yes
FB002807,USR02323,TOOL002,2024-06-15,1.0,1234,General Feedback,NEGATIVE,1
FB001747,USR00553,TOOL009,2024-07-09,5.0,Really love using this tool daily!,Pricing,Positive,True
FB000667,USR00406,TOOL006,2025-10-29,2.0,N/A,Bug Report,,Yes
FB001635,USR02441,TOOL001,2024-07-28,4.0,,Other,NEGATIVE,N/A
FB003666,USR02350,TOOL001,2025-01-17,3.0,Incredibly fast and accurate responses.,bug report,Negative,N/A
FB003951,USR01220,TOOL011,2026-01-26,2.0,,Bug Report,,
FB003138,USR02881,TOOL004,2025-11-30,,Best AI tool I have used so far.,Performance,positive,N/A
FB002307,USR02992,TOOL003,2024-10-12,-1.0,Saves me hours of work every week.,FEATURE REQUEST,Positive,No
FB002489,USR99311,TOOL002,2026-05-01,0.0,Does the job but nothing more.,Performance,N/A,False
FB002221,USR01792,TOOL008,2024-11-21,5.0,Many bugs and the UI is confusing.,Feature Request,Negative,True
FB000216,USR00011,TOOL012,2024-05-27,,Saves me hours of work every week.,Feature Request,Negative,1
FB001237,USR02610,TOOL012,2025-03-12,3.0,"Disappointing results, expected better. â€™ â€œ",bug report,N/A,Yes
FB001055,USR00961,TOOL002,2025-07-28,3.0,Many bugs and the UI is confusing.,,N/A,No
FB000754,USR01021,TOOL004,2025-11-14,2.0,Game changer for my workflow.,bug report,,No
FB002683,USR02415,TOOL011,2025-10-17,1.0,Incredibly fast and accurate responses.,,Negative,False
FB000053,USR02214,TOOL009,2026-06-04,5.0,Very expensive for what it offers.,bug report,Positive,Yes
FB000648,USR00558,TOOL006,2025-07-25,2.0,"Disappointing results, expected better. â€™ â€œ",Support,NEGATIVE,No
FB000177,USR00878,TOOL003,2025-12-07,2.0,Many bugs and the UI is confusing.,Pricing,Neutral,N/A
FB002066,USR00736,TOOL007,2025-11-02,1.0,N/A,Pricing,NEGATIVE,
FB000683,USR01553,TOOL003,2025-03-18,5.0,N/A,bug report,Negative,0
FB001477,USR00045,TOOL005,2026-02-06,10.0,Really love using this tool daily!,Performance,NEGATIVE,N/A
FB003310,USR02722,TOOL001,2025-07-12,,N/A,,positive,False
FB000839,USR99218,TOOL003,2024-05-24,2.0,Best AI tool I have used so far.,General Feedback,NEGATIVE,False
FB003537,USR02104,TOOL006,2024-05-30,2.0,Saves me hours of work every week.,bug report,N/A,No
FB002155,USR02056,TOOL004,2025-09-08,5.0,,Support,N/A,1
FB003945,USR00390,TOOL012,2025-08-05,4.0,Best AI tool I have used so far.,General Feedback,NEGATIVE,Yes
FB002825,USR00133,TOOL005,2025-11-22,,Average product.,Feature Request,Negative,Yes
FB001017,USR00211,TOOL009,2025-03-29,3.0,Does the job but nothing more.,Performance,positive,0
FB001006,USR00281,TOOL008,2025-11-13,4.0,Saves me hours of work every week.,General Feedback,Positive,
FB000661,USR02413,TOOL008,2024-08-29,3.0,Really love using this tool daily!,Other,Positive,1
FB003831,USR02348,TOOL001,2024-06-02,1.0,,Other,,N/A
FB003713,USR01907,TOOL010,2025-02-15,1.0,Incredibly fast and accurate responses.,Performance,N/A,True
FB003385,USR02586,TOOL003,2025-05-16,4.0,asdfjkl;,bug report,NEGATIVE,True
FB000358,USR02567,TOOL011,2024-12-23,1.0,Really love using this tool daily!,N/A,positive,
FB003260,USR01769,TOOL006,2025-08-10,4.0,"Too slow, crashes often.",N/A,Negative,No
FB002698,USR00135,TOOL011,2025-04-11,5.0,Really love using this tool daily!,Bug Report,,Yes
FB003561,USR02357,TOOL006,2026-03-24,1.0,Does the job but nothing more.,bug report,Negative,0
FB003119,USR02999,TOOL001,2024-07-06,5.0,!!!!!,Feature Request,Negative,Yes
FB002428,USR00837,TOOL001,2024-06-14,4.0,.,FEATURE REQUEST,Negative,
FB002387,USR02392,TOOL002,2024-06-13,,.,FEATURE REQUEST,,1
FB002415,USR00072,TOOL001,2024-12-23,5.0,Many bugs and the UI is confusing. â€™ â€œ,,N/A,
FB002199,USR01595,TOOL006,2024-08-23,-1.0,Incredibly fast and accurate responses.,Performance,Neutral,True
FB001346,USR02976,TOOL003,2025-06-07,4.0,Best AI tool I have used so far.,Bug Report,Positive,Yes
FB000534,USR01654,TOOL004,2024-09-25,3.0,Really love using this tool daily!,General Feedback,Negative,1
FB003498,USR01312,TOOL009,2026-02-10,1.0,!!!!!,General Feedback,,0
FB001394,USR02022,TOOL010,2024-08-10,10.0,Average product.,Feature Request,Negative,No
FB002648,USR01576,TOOL012,2026-05-03,5.0,Incredibly fast and accurate responses.,bug report,,1
FB002197,USR01824,TOOL004,2025-10-06,3.0,"Too slow, crashes often.",Performance,Neutral,False
FB001188,USR02872,TOOL007,2026-02-23,2.0,Average product.,bug report,positive,True
FB000416,USR02827,TOOL012,2024-09-02,2.0,"Disappointing results, expected better.",Pricing,NEGATIVE,True
FB000068,USR01620,TOOL001,2025-04-13,3.0,N/A,,Neutral,Yes
FB002561,USR00585,TOOL012,2026-01-21,1.0,Many bugs and the UI is confusing.,Bug Report,N/A,False
FB002393,USR01516,TOOL012,2025-11-06,4.0,Incredibly fast and accurate responses.,Pricing,N/A,No
FB002814,USR01809,TOOL011,2025-01-17,1.0,Customer support is terrible.,bug report,Negative,False
FB003906,USR02268,TOOL004,2025-02-06,0.0,Incredibly fast and accurate responses.,Pricing,,Yes
FB003175,USR02159,TOOL003,2024-08-23,5.0,!!!!!,Feature Request,Neutral,True
FB003770,USR00348,TOOL002,2025-07-07,5.0,Saves me hours of work every week.,bug report,N/A,N/A
FB000132,USR01420,TOOL003,2025-12-01,3.0,Really love using this tool daily!,,Negative,0
FB003111,USR02352,TOOL012,2024-11-01,3.0,,Feature Request,Positive,
FB003116,USR00612,TOOL001,2025-07-15,3.0,,General Feedback,N/A,Yes
FB001212,USR00160,TOOL001,2025-12-22,,.,Performance,Neutral,0
FB001177,USR01979,TOOL008,2024-05-13,,,Bug Report,Negative,
FB002726,USR00583,TOOL004,2024-11-06,5.0,Saves me hours of work every week.,Other,positive,1
FB003583,USR01580,TOOL011,2024-10-31,7.0,Saves me hours of work every week.,N/A,Neutral,Yes
FB002050,USR02354,TOOL003,2026-10-26,2.0,Incredibly fast and accurate responses.,N/A,Positive,No
FB001567,USR00998,TOOL005,2025-09-05,2.0,Average product.,Performance,Positive,No
FB002335,USR00826,TOOL012,2027-02-06,5.0,,General Feedback,Positive,0
FB002806,USR02863,TOOL001,,5.0,Average product.,Pricing,NEGATIVE,N/A
FB000623,USR02800,TOOL012,2025-10-01,5.0,Really love using this tool daily!,General Feedback,,False
FB003924,USR02846,TOOL003,2027-01-01,1.0,Does the job but nothing more.,FEATURE REQUEST,NEGATIVE,True
FB001238,USR01110,TOOL004,2024-07-06,5.0,"It is okay, nothing special.",General Feedback,positive,False
FB002607,USR00745,TOOL008,2025-01-24,1.0,Incredibly fast and accurate responses.,Bug Report,Positive,0
FB001735,USR00943,TOOL001,2025-05-04,3.0,Really love using this tool daily!,Bug Report,positive,No
FB003185,USR02187,TOOL003,2024-05-15,1.0,Incredibly fast and accurate responses.,Pricing,Negative,1
FB001935,USR02665,TOOL007,2025-11-10,3.0,.,Performance,Positive,
FB001636,USR01327,TOOL005,2024-06-29,2.0,Incredibly fast and accurate responses.,Support,Positive,
FB003424,USR02834,TOOL005,,4.0,.,Performance,N/A,Yes
FB002289,USR02255,TOOL010,2025-01-11,5.0,Incredibly fast and accurate responses.,FEATURE REQUEST,N/A,
FB003612,USR01721,TOOL004,2026-04-06,0.0,Very expensive for what it offers.,Feature Request,NEGATIVE,
FB003776,USR02105,TOOL007,,1.0,Saves me hours of work every week.,FEATURE REQUEST,Neutral,1
FB001693,USR01930,TOOL006,2025-03-16,3.0,Best AI tool I have used so far.,Feature Request,NEGATIVE,False
FB003680,USR00070,TOOL005,2025-12-30,4.0,Many bugs and the UI is confusing.,FEATURE REQUEST,,
FB000446,USR01426,TOOL004,2026-03-01,4.0,Saves me hours of work every week.,Other,Neutral,N/A
FB002839,USR02649,TOOL005,2026-05-11,8.0,Many bugs and the UI is confusing.,FEATURE REQUEST,N/A,N/A
FB003180,USR00667,TOOL010,2026-04-03,3.0,Incredibly fast and accurate responses.,Bug Report,NEGATIVE,N/A
FB000716,USR01226,TOOL004,2024-06-25,1.0,Really love using this tool daily!,Performance,Negative,False
FB003829,USR99060,TOOL011,2026-09-24,3.0,Average product.,Other,,1
FB001740,USR02557,TOOL003,2026-05-01,4.0,"It is okay, nothing special.",Performance,N/A,Yes
FB003668,USR02129,TOOL001,2025-05-15,10.0,"It is okay, nothing special. â€™ â€œ",Bug Report,NEGATIVE,0
FB001511,USR02983,TOOL010,2025-06-10,4.0,,Performance,,0
FB002696,USR02096,TOOL001,2024-06-09,1.0,Saves me hours of work every week.,bug report,positive,True
FB000982,USR01958,TOOL007,2025-10-19,3.0,N/A,General Feedback,NEGATIVE,True
FB001143,USR02278,TOOL003,2025-10-28,1.0,Does the job but nothing more. â€™ â€œ,Bug Report,,False
FB000668,USR01642,TOOL003,2024-09-15,3.0,,,positive,False
FB002978,USR01121,TOOL012,2025-09-02,1.0,Best AI tool I have used so far.,General Feedback,N/A,Yes
FB003592,USR00776,TOOL002,2024-07-02,3.0,Incredibly fast and accurate responses.,N/A,Positive,1
FB002517,USR01014,TOOL005,2024-07-08,4.0,1234 â€™ â€œ,FEATURE REQUEST,Negative,0
FB003215,USR02290,TOOL003,2026-01-14,4.0,,Feature Request,Negative,False
FB000511,USR02743,TOOL011,2026-04-22,5.0,"Too slow, crashes often.",N/A,Negative,1
FB001632,USR99281,TOOL005,2024-05-19,3.0,Best AI tool I have used so far.,Performance,NEGATIVE,False
FB002578,USR00363,TOOL005,2024-06-04,4.0,"Too slow, crashes often.",Support,Positive,No
FB003349,USR02322,TOOL003,2026-02-10,,Customer support is terrible.,FEATURE REQUEST,Positive,No
FB000842,USR02334,TOOL004,2025-08-08,5.0,Best AI tool I have used so far.,bug report,Negative,0
FB002549,USR00177,TOOL011,2026-04-14,3.0,asdfjkl;,Bug Report,N/A,N/A
FB003329,USR00841,TOOL008,2025-07-29,4.0,Many bugs and the UI is confusing. â€™ â€œ,bug report,positive,0
FB002674,USR02036,TOOL006,2026-04-29,4.0,Incredibly fast and accurate responses.,Other,Positive,Yes
FB001342,USR02989,TOOL009,2024-07-18,0.0,asdfjkl;,Performance,,
FB001020,USR01836,TOOL010,2025-07-01,3.0,,bug report,Neutral,False
FB003292,USR02166,TOOL005,2025-05-26,,"Disappointing results, expected better.",bug report,Positive,N/A
FB001458,USR00134,TOOL002,2024-11-13,2.0,Customer support is terrible.,FEATURE REQUEST,Neutral,
FB001393,USR00180,TOOL002,2024-12-29,5.0,Game changer for my workflow.,bug report,,Yes
FB001842,USR01449,TOOL001,2025-05-02,3.0,!!!!!,Support,,N/A
FB002392,USR01178,TOOL003,2025-01-27,5.0,,,,No
FB003235,USR00075,TOOL010,2025-10-27,5.0,Very expensive for what it offers.,Pricing,positive,No
FB002668,USR01672,TOOL009,2025-09-13,4.0,Game changer for my workflow.,General Feedback,NEGATIVE,1
FB001216,USR01300,TOOL008,2024-09-02,3.0,Very expensive for what it offers.,Bug Report,Neutral,No
FB002967,USR00960,TOOL009,2026-04-08,3.0,Customer support is terrible.,Performance,Positive,1
FB000591,USR02194,TOOL001,2026-01-22,5.0,!!!!!,FEATURE REQUEST,NEGATIVE,False
FB003034,USR00787,TOOL003,2024-12-15,4.0,Game changer for my workflow.,Performance,Positive,
FB002479,USR01180,TOOL011,2024-06-02,2.0,asdfjkl;,Pricing,positive,1
FB002026,USR01956,TOOL003,2025-02-27,2.0,Best AI tool I have used so far.,Support,NEGATIVE,Yes
FB003912,USR01968,TOOL005,2026-01-02,2.0,Really love using this tool daily!,Feature Request,NEGATIVE,Yes
FB001471,USR01157,TOOL011,2025-03-07,3.0,Game changer for my workflow.,,Positive,
FB000029,USR00605,TOOL001,2025-05-25,3.0,"Too slow, crashes often.",Performance,N/A,True
FB002438,USR01135,TOOL003,2025-02-06,5.0,Customer support is terrible.,Support,NEGATIVE,No
FB003357,USR02737,TOOL010,2025-03-20,7.0,Best AI tool I have used so far.,Feature Request,positive,True
FB001516,USR00387,TOOL001,2024-08-10,3.0,Really love using this tool daily!,General Feedback,N/A,True
FB001734,USR00742,TOOL004,2025-04-13,5.0,!!!!!,Support,Positive,No
FB000533,USR02955,TOOL001,2025-01-30,2.0,"Too slow, crashes often.",FEATURE REQUEST,N/A,0
FB001726,USR01167,TOOL001,2024-11-23,2.0,Very expensive for what it offers.,Performance,NEGATIVE,
FB003720,USR01682,TOOL001,2025-09-11,7.0,!!!!!,Performance,Neutral,False
FB001493,USR00680,TOOL002,2024-11-16,4.0,Average product.,N/A,positive,
FB000320,USR00441,TOOL002,2026-01-25,1.0,,Pricing,Neutral,
FB001306,USR02097,TOOL003,2024-09-04,5.0,,Pricing,Negative,Yes
FB003256,USR00079,TOOL001,2024-07-22,1.0,Many bugs and the UI is confusing.,General Feedback,Negative,0
FB001273,USR00248,TOOL005,2025-05-03,5.0,Game changer for my workflow.,FEATURE REQUEST,Neutral,1
FB002550,USR02416,TOOL011,2026-04-07,5.0,Saves me hours of work every week.,,Positive,0
FB003517,USR01821,TOOL006,2025-03-16,2.0,Saves me hours of work every week.,,N/A,No
FB003501,USR02131,TOOL003,2024-08-15,1.0,1234,FEATURE REQUEST,NEGATIVE,False
FB000340,USR00534,TOOL009,2025-11-07,4.0,Saves me hours of work every week. â€™ â€œ,Pricing,positive,1
FB002512,USR01608,TOOL010,2026-01-15,3.0,Customer support is terrible.,FEATURE REQUEST,N/A,1
FB002344,USR02308,TOOL009,2024-10-20,2.0,"Too slow, crashes often.",N/A,NEGATIVE,Yes
FB001517,USR02143,TOOL003,2024-08-14,5.0,,Feature Request,NEGATIVE,0
