log_id,user_id,tool_id,session_date,session_duration_minutes,prompts_per_session,prompt_category,device_type,satisfaction_score,tokens_used
LOG0022084,USR00679,TOOL002,2023-01-15 00:00:00.000000,59.0,7.0,Video Generation,Mobile,N/A,6630.0
LOG0021047,USR02273,TOOL005,2024-04-03 00:00:00.000000,60.0,47.0,Productivity,Other,4,3607.0
LOG0012625,USR99270,TOOL009,2023-03-03 00:00:00.000000,96.0,17.0,,,6,2237.0
LOG0017678,USR01277,TOOL010,2023-05-07 00:00:00.000000,31.0,24.0,Code Assistant,N/A,0,1376.0
LOG0013093,USR00877,TOOL005,2023-04-06 00:00:00.000000,54.0,23.0,Text Generation,Other,N/A,471.0
LOG0024447,USR02255,TOOL003,2024-04-18 00:00:00.000000,,19.0,Image Generation,,4,6713.0
LOG0002067,USR01614,TOOL003,2023-05-26 00:00:00.000000,80.0,27.0,Image Generation,Mobile,0,5884.0
LOG0017411,USR01348,TOOL010,2024-06-03 00:00:00.000000,105.0,-3.0,Search & Research,DESKTOP,6,789.0
LOG0015594,USR02383,TOOL007,2023-11-29 00:00:00.000000,15.0,50.0,Search & Research,N/A,1,1812.0
LOG0002939,USR01598,TOOL660,2024-04-21 00:00:00.000000,44.0,47.0,Video Generation,tablet,4,2450.0
LOG0006003,USR02388,TOOL010,2023-10-24 00:00:00.000000,114.0,13.0,Other,DESKTOP,N/A,3003.0
LOG0005731,USR00760,TOOL001,2023-10-06 00:00:00.000000,-3.0,40.0,CODE ASSISTANT,,,750.0
LOG0001709,USR01774,TOOL001,2024-02-04 00:00:00.000000,77.0,31.0,Video Generation,Other,4,958.0
LOG0018428,USR02857,TOOL006,2023-08-19 00:00:00.000000,67.0,5.0,Search & Research,mobile,4,
LOG0016898,USR01895,TOOL004,2023-04-13 00:00:00.000000,25.0,26.0,Video Generation,N/A,6,3951.0
LOG0012653,USR00379,TOOL007,2024-05-08 00:00:00.000000,53.0,17.0,N/A,Tablet,6,3912.0
LOG0008427,USR01511,TOOL010,2024-04-21 00:00:00.000000,78.0,36.0,Text Generation,mobile,0,4376.0
LOG0019442,USR00877,TOOL006,2023-01-04 00:00:00.000000,13.0,40.0,Text Generation,tablet,4,6439.0
LOG0020528,USR00075,TOOL010,2024-06-09 00:00:00.000000,55.0,,N/A,Other,5,187.0
LOG0013516,USR01887,TOOL001,2023-11-06 00:00:00.000000,2021.0,20.0,N/A,Tablet,N/A,2713.0
LOG0022246,USR00527,TOOL010,2024-06-02 00:00:00.000000,8.0,29.0,Other,mobile,-1,7917.0
LOG0003283,USR01212,TOOL001,2023-09-27 00:00:00.000000,55.0,7.0,Video Generation,Mobile,0,874.0
LOG0012650,USR01980,TOOL007,2023-11-11 00:00:00.000000,55.0,32.0,N/A,tablet,-1,2361.0
LOG0001895,USR01211,TOOL011,2024-06-13 00:00:00.000000,96.0,,Productivity,Desktop,2,130.0
LOG0022878,USR00860,TOOL001,2023-10-25 00:00:00.000000,106.0,50.0,Productivity,Other,N/A,7998.0
LOG0022467,USR00719,TOOL005,2024-07-21 00:00:00.000000,107.0,12.0,N/A,Web Browser,1,5682.0
LOG0007833,USR01658,TOOL009,2024-11-27 00:00:00.000000,49.0,33.0,Productivity,Web Browser,5,4501.0
LOG0022558,USR00648,TOOL010,2024-11-28 00:00:00.000000,82.0,26.0,Productivity,Other,4,5848.0
LOG0002996,USR00516,TOOL009,2024-07-27 00:00:00.000000,25.0,11.0,N/A,,5,6330.0
LOG0019483,USR01296,TOOL007,2024-01-20 00:00:00.000000,108.0,14.0,Other,Desktop,,4126.0
LOG0006571,USR00396,TOOL003,2023-11-15 00:00:00.000000,79.0,13.0,Video Generation,N/A,N/A,6224.0
LOG0020846,USR00933,TOOL012,2024-09-22 00:00:00.000000,32.0,48.0,Image Generation,tablet,-1,7419.0
LOG0014493,USR00594,TOOL003,2024-09-30 00:00:00.000000,10.0,16.0,Code Assistant,,4,5789.0
LOG0020723,USR01716,TOOL003,2023-07-02 00:00:00.000000,103.0,23.0,text generation,,N/A,6494.0
LOG0015997,USR02404,TOOL007,2024-01-12 00:00:00.000000,32.0,24.0,text generation,Web Browser,6,4392.0
LOG0000827,USR00482,TOOL003,2024-06-28 00:00:00.000000,53.0,25.0,Image Generation,Mobile,0,5280.0
LOG0009886,USR02856,TOOL009,2023-04-06 00:00:00.000000,53.0,37.0,Video Generation,,0,2327.0
LOG0006217,USR02932,TOOL004,2023-11-18 00:00:00.000000,,32.0,Image Generation,Other,N/A,4597.0
LOG0008252,USR00518,TOOL007,2023-05-26 00:00:00.000000,83.0,30.0,Image Generation,N/A,5,6515.0
LOG0000483,USR00891,TOOL007,2023-09-18 00:00:00.000000,34.0,5.0,Other,mobile,4,4759.0
LOG0014222,USR01900,TOOL011,2023-10-05 00:00:00.000000,8.0,50.0,Productivity,mobile,3,5105.0
LOG0002711,USR00619,TOOL004,2023-09-03 00:00:00.000000,10.0,6.0,Code Assistant,,1,1385.0
LOG0014503,USR02735,TOOL007,2024-12-06 00:00:00.000000,16.0,37.0,Productivity,mobile,0,997.0
LOG0016905,USR01929,TOOL006,2023-04-06 00:00:00.000000,106.0,33.0,Other,Other,4,2073.0
LOG0014013,USR00053,TOOL002,2024-02-28 00:00:00.000000,34.0,40.0,Image Generation,Mobile,3,5113.0
LOG0012022,USR00926,TOOL141,2023-03-28 00:00:00.000000,50.0,9.0,Productivity,N/A,3,3210.0
LOG0021371,USR02474,TOOL003,,110.0,45.0,Video Generation,Desktop,-1,5679.0
LOG0020845,USR02577,TOOL003,2026-05-26 02:05:25.358439,90.0,37.0,Other,N/A,,2432.0
LOG0005167,USR02801,TOOL001,2023-05-12 00:00:00.000000,75.0,10.0,CODE ASSISTANT,DESKTOP,,3128.0
LOG0022758,USR02923,TOOL001,2023-07-01 00:00:00.000000,1917.0,27.0,N/A,DESKTOP,-1,1223.0
LOG0024689,USR02089,TOOL008,2024-03-20 00:00:00.000000,47.0,35.0,text generation,Mobile,0,1889.0
LOG0015868,USR02905,TOOL001,2024-11-27 00:00:00.000000,15.0,12.0,Image Generation,Mobile,N/A,5866.0
LOG0002370,USR02095,TOOL004,2024-08-29 00:00:00.000000,107.0,48.0,Text Generation,Desktop,3,834.0
LOG0015571,USR02171,TOOL003,2024-01-18 00:00:00.000000,105.0,31.0,text generation,Desktop,5,7982.0
LOG0011262,USR00804,TOOL009,2023-10-30 00:00:00.000000,54.0,-4.0,Productivity,mobile,1,5230.0
LOG0021961,USR00774,TOOL003,2024-02-14 00:00:00.000000,81.0,15.0,Text Generation,,6,6423.0
LOG0022924,USR00148,TOOL007,2023-07-13 00:00:00.000000,103.0,9.0,Video Generation,Mobile,2,4623.0
